127.0.0.1, 2016-04-04 22:58:41, POST, /admin/default/edit/init/views/default/index.html, HTTP/1.1, 200, 0.027755
127.0.0.1, 2016-04-04 22:58:46, GET, /, HTTP/1.1, 200, 0.389482
127.0.0.1, 2016-04-04 22:58:59, GET, /admin/default/edit/init/models/menu.py, HTTP/1.1, 200, 0.039579
127.0.0.1, 2016-04-04 22:58:59, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.008994
127.0.0.1, 2016-04-04 22:59:13, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.042356
127.0.0.1, 2016-04-04 22:59:13, GET, /init/appadmin/hooks, HTTP/1.1, 200, 0.169030
127.0.0.1, 2016-04-04 22:59:30, POST, /admin/default/edit/init/models/menu.py, HTTP/1.1, 200, 0.029572
127.0.0.1, 2016-04-04 22:59:34, GET, /, HTTP/1.1, 200, 0.220209
127.0.0.1, 2016-04-04 22:59:36, GET, /init/default/index, HTTP/1.1, 200, 0.215923
127.0.0.1, 2016-04-04 23:00:01, POST, /admin/default/edit/init/models/menu.py, HTTP/1.1, 200, 0.026884
127.0.0.1, 2016-04-04 23:00:05, GET, /init/default/index, HTTP/1.1, 200, 0.237227
127.0.0.1, 2016-04-04 23:00:13, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.118195
127.0.0.1, 2016-04-04 23:00:15, GET, /init/appadmin/hooks, HTTP/1.1, 200, 1.421667
127.0.0.1, 2016-04-04 23:00:29, POST, /admin/default/edit/init/models/menu.py, HTTP/1.1, 200, 0.025208
127.0.0.1, 2016-04-04 23:00:32, GET, /init/default/index, HTTP/1.1, 200, 0.213860
127.0.0.1, 2016-04-04 23:01:13, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.102225
127.0.0.1, 2016-04-04 23:01:14, GET, /init/appadmin/hooks, HTTP/1.1, 200, 1.279525
127.0.0.1, 2016-04-04 23:02:13, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.067537
127.0.0.1, 2016-04-04 23:02:13, GET, /init/appadmin/hooks, HTTP/1.1, 200, 0.163861
127.0.0.1, 2016-04-04 23:03:13, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.038254
127.0.0.1, 2016-04-04 23:03:13, GET, /init/appadmin/hooks, HTTP/1.1, 200, 0.159454
127.0.0.1, 2016-04-04 23:03:40, GET, /admin/default/edit/init/models/db.py, HTTP/1.1, 200, 0.055972
127.0.0.1, 2016-04-04 23:03:40, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.017678
127.0.0.1, 2016-04-04 23:04:13, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.060190
127.0.0.1, 2016-04-04 23:04:13, GET, /init/appadmin/hooks, HTTP/1.1, 200, 0.192277
127.0.0.1, 2016-04-04 23:05:13, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.047579
127.0.0.1, 2016-04-04 23:05:13, GET, /init/appadmin/hooks, HTTP/1.1, 200, 0.184562
127.0.0.1, 2016-04-04 23:05:23, POST, /admin/default/edit/init/models/db.py, HTTP/1.1, 200, 0.034082
127.0.0.1, 2016-04-04 23:05:37, POST, /admin/default/edit/init/models/db.py, HTTP/1.1, 200, 0.038220
127.0.0.1, 2016-04-04 23:06:13, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.056408
127.0.0.1, 2016-04-04 23:06:14, GET, /init/appadmin/hooks, HTTP/1.1, 200, 0.355759
127.0.0.1, 2016-04-04 23:06:33, POST, /admin/default/edit/init/models/db.py, HTTP/1.1, 200, 0.045945
127.0.0.1, 2016-04-04 23:06:39, GET, /admin/default/site, HTTP/1.1, 200, 0.104408
127.0.0.1, 2016-04-04 23:06:43, GET, /init/default/index, HTTP/1.1, 200, 0.057951
127.0.0.1, 2016-04-04 23:06:47, GET, /admin/default/site, HTTP/1.1, 200, 0.097447
127.0.0.1, 2016-04-04 23:06:51, GET, /admin/default/design/init, HTTP/1.1, 200, 0.330549
127.0.0.1, 2016-04-04 23:06:56, GET, /init/appadmin/index, HTTP/1.1, 200, 0.106639
127.0.0.1, 2016-04-04 23:06:56, GET, /init/appadmin/hooks, HTTP/1.1, 200, 0.184774
127.0.0.1, 2016-04-04 23:07:00, GET, /init/appadmin/insert/db/entries, HTTP/1.1, 200, 0.132496
127.0.0.1, 2016-04-04 23:07:03, POST, /init/appadmin/insert/db/entries, HTTP/1.1, 200, 0.199909
127.0.0.1, 2016-04-04 23:07:07, POST, /init/appadmin/insert/db/entries, HTTP/1.1, 200, 0.171788
127.0.0.1, 2016-04-04 23:07:11, POST, /init/appadmin/insert/db/entries, HTTP/1.1, 200, 0.562831
127.0.0.1, 2016-04-04 23:07:13, GET, /init/appadmin/index, HTTP/1.1, 200, 0.174204
127.0.0.1, 2016-04-04 23:07:13, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.050200
